Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 2.5%,Output SGST @ 2.5%,Output IGST @ 12%,Shipping Local GST @ 18%,Output IGST @ 18%,Output IGST @ 5%,Shipping Local GST @ 12%,Shipping Interstate GST @ 12%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,10 Pr,863.00/Pr,8630.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,10 Pr,863.00/Pr,8630.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,10 Pr,917.00/Pr,9170.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,10 Pr,917.00/Pr,9170.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,10 Pr,917.00/Pr,9170.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,10 Pr,917.00/Pr,9170.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,10 Pr,917.00/Pr,9170.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,6 Pr,917.00/Pr,5502.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,6 Pr,917.00/Pr,5502.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,2 Pr,917.00/Pr,1834.00,,,,,,,,,,,,,,,,,,,,,
03-May-25,Gubbacci Apparel Pvt Ltd,PSB25-26/INV-218,PSB25-26/INV-218,Being Sale of Goods - Accounted,420 Pr,,290249.40,325079.00 Dr,290249.40 Cr,,,0.30 Dr,17414.95 Cr,17414.95 Cr,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 06 UK) - Black,,,,84 Pr,691.07/Pr,58049.88,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 07 UK) - Black,,,,108 Pr,691.07/Pr,74635.56,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 08 UK) - Black,,,,132 Pr,691.07/Pr,91221.24,,,,,,,,,,,,,,,,,,,,,
,Nivia - Mesh Rubber Sole Shoes (Size 09 UK) - Black,,,,96 Pr,691.07/Pr,66342.72,,,,,,,,,,,,,,,,,,,,,
03-May-25,ELEMENTS BRAND MERCHANDISING,PSB25-26/INV-219,PSB25-26/INV-219,Being Sale of Goods - Accounted,3 Pr,,2481.00,2779.00 Dr,2481.00 Cr,,,0.28 Cr,,,,,297.72 Cr,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,863.00/Pr,863.00,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,917.00/Pr,917.00,,,,,,,,,,,,,,,,,,,,,
03-May-25,(cancelled ),PSB25-26/INV-220,PSB25-26/INV-220,Being Sale of Goods - Accounted,,,,,,,,,,,,,,,,,,,,,,,,
03-May-25,HITESH CREATIONS (J P NAGAR),PSB25-26/INV-221,PSB25-26/INV-221,Being Sale of Goods - Accounted,3 Pr,,3699.00,4565.00 Dr,3699.00 Cr,348.17 Cr,348.17 Cr,0.17 Cr,,,,,,169.49 Cr,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - White,,,,1 Pr,1000.00/Pr,1000.00,,,,,,,,,,,,,,,,,,,,,
