Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 5%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Shipping Local GST @ 18%,Output CGST @ 9%,Output SGST @ 9%
14-Oct-25,HITESH CREATIONS (J P NAGAR),PSB2526/INV-1156,PSB2526/INV-1156,Being Sale of Goods - Accounted,10 Pr,,9395.00,9865.00 Dr,9395.00 Cr,,0.22 Cr,234.89 Cr,234.89 Cr,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,911.00/Pr,911.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,2 Pr,911.00/Pr,1822.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,968.00/Pr,968.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,968.00/Pr,968.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,968.00/Pr,968.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - White,,,,1 Pr,911.00/Pr,911.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - White,,,,1 Pr,911.00/Pr,911.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - White,,,,1 Pr,968.00/Pr,968.00,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - White,,,,1 Pr,968.00/Pr,968.00,,,,,,,,,
14-Oct-25,Walk-King Shoe Company,PSB2526/INV-1157,PSB2526/INV-1157,Being Sale of Goods - Accounted,5 Pr,,7380.00,7749.00 Dr,7380.00 Cr,369.00 Cr,,,,,,
,Reebok Champion Shoe (Size 08 US) - Black,,,,2 Pr,1476.00/Pr,2952.00,,,,,,,,,
,Reebok Champion Shoe (Size 09 US) - Black,,,,3 Pr,1476.00/Pr,4428.00,,,,,,,,,
14-Oct-25,Walk-King Shoe Company,PSB2526/INV-1158,PSB2526/INV-1158,Being Sale of Goods - Accounted,2 Pr,,2214.00,2325.00 Dr,2214.00 Cr,110.70 Cr,0.30 Cr,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,2 Pr,1107.00/Pr,2214.00,,,,,,,,,
14-Oct-25,SAI ANUGRAHA TRADERS,PSB2526/INV-1159,PSB2526/INV-1159,Being Sale of Goods - Accounted,1 Pr,,701.00,736.00 Dr,701.00 Cr,35.05 Cr,0.05 Dr,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,701.00/Pr,701.00,,,,,,,,,
14-Oct-25,MICKEY AND MINNIE CLOTHING,PSB2526/INV-1160,PSB2526/INV-1160,Being Sale of Goods - Accounted,1 Pr,,1350.00,1418.00 Dr,1350.00 Cr,,0.50 Cr,33.75 Cr,33.75 Cr,,,
,Reebok Prodigy Shoe (Size 05 Y) - White,,,,1 Pr,1350.00/Pr,1350.00,,,,,,,,,
17-Oct-25,Walk-King Shoe Company,PSB2526/INV-1161,PSB2526/INV-1161,Being Sale of Goods - Accounted,8 Pr,,11808.00,12398.00 Dr,11808.00 Cr,590.40 Cr,0.40 Dr,,,,,
,Reebok Champion Shoe (Size 10 US) - Black,,,,4 Pr,1476.00/Pr,5904.00,,,,,,,,,
,Reebok Champion Shoe (Size 12 US) - Black,,,,4 Pr,1476.00/Pr,5904.00,,,,,,,,,
17-Oct-25,C D Agarwal & Sons,PSB2526/INV-1162,PSB2526/INV-1162,Being Sale of Goods - Accounted,63 Pr,,102243.00,107355.00 Dr,102243.00 Cr,5112.15 Cr,0.15 Dr,,,,,
,Puma School Shoes (Size 03 UK) - Black,,,,4 Pr,1529.00/Pr,6116.00,,,,,,,,,
,Puma School Shoes (Size 04 UK) - Black,,,,4 Pr,1529.00/Pr,6116.00,,,,,,,,,
,Puma School Shoes (Size 05 UK) - Black,,,,4 Pr,1682.00/Pr,6728.00,,,,,,,,,
,Puma School Shoes (Size 06 UK) - Black,,,,4 Pr,1682.00/Pr,6728.00,,,,,,,,,
,Puma School Shoes (Size 09 C) - White,,,,2 Pr,1427.00/Pr,2854.00,,,,,,,,,
,Puma School Shoes (Size 01 UK) - White,,,,2 Pr,1529.00/Pr,3058.00,,,,,,,,,
,Puma School Shoes (Size 02 UK) - White,,,,2 Pr,1529.00/Pr,3058.00,,,,,,,,,
,Puma School Shoes (Size 03 UK) - White,,,,4 Pr,1529.00/Pr,6116.00,,,,,,,,,
,Puma School Shoes (Size 04 UK) - White,,,,5 Pr,1529.00/Pr,7645.00,,,,,,,,,
,Puma School Shoes (Size 05 UK) - White,,,,6 Pr,1682.00/Pr,10092.00,,,,,,,,,
,Puma School Shoes (Size 06 UK) - White,,,,6 Pr,1682.00/Pr,10092.00,,,,,,,,,
,Puma School Shoes (Size 07 UK) - White,,,,6 Pr,1682.00/Pr,10092.00,,,,,,,,,
,Puma School Shoes (Size 08 UK) - White,,,,8 Pr,1682.00/Pr,13456.00,,,,,,,,,
,Puma School Shoes (Size 09 UK) - White,,,,6 Pr,1682.00/Pr,10092.00,,,,,,,,,
22-Oct-25,"Lighthouse Learning Pvt Ltd.,",PSB2526/INV-1163,PSB2526/INV-1163,Being Sale of Goods - Accounted,360 Pr,,356040.00,373842.00 Dr,356040.00 Cr,17802.00 Cr,,,,,,
,Plaeto Nova School Shoes (Size 09 C) - Grey / Blue,,,,26 Pr,989.00/Pr,25714.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 C) - Grey / Blue,,,,49 Pr,989.00/Pr,48461.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 C) - Grey / Blue,,,,31 Pr,989.00/Pr,30659.00,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Grey / Blue,,,,32 Pr,989.00/Pr,31648.00,,,,,,,,,
