Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output IGST @ 12%,Output IGST @ 18%,Round Off,Output IGST @ 5%,Output CGST @ 2.5%,Output SGST @ 2.5%,TCS on Sales (0.1%),Output CGST @ 6%,Output SGST @ 6%,Output CGST @ 9%,Output SGST @ 9%,Input CGST @ 2.5%,Input SGST @ 2.5%,Input CGST @ 6%,Input SGST @ 6%,Input CGST @ 9%,Input SGST @ 9%,Local GST Sales @ 5%,Local GST Sales @ 18%,Interstate GST Sales @ 5%
,Skechers GORUN-400-Intrepid Shoe (Size 04 Y) - Black,,,,1 Pr,1872.03/Pr,1872.03,,,,,,,,,,,,,,,,,,,,,,
,Skechers GORUN-400-Intrepid Shoe (Size 06 Y) - Black,,,,1 Pr,1872.03/Pr,1872.03,,,,,,,,,,,,,,,,,,,,,,
,Skechers GORUN-400-Intrepid Shoe (Size 07 US) - Black,,,,1 Pr,2041.53/Pr,2041.53,,,,,,,,,,,,,,,,,,,,,,
,Skechers GORUN-400-Intrepid Shoe (Size 08 US) - Black,,,,1 Pr,2041.53/Pr,2041.53,,,,,,,,,,,,,,,,,,,,,,
17-Feb-25,Kitco Sales Agency,PSB24-25/INV-829,PSB24-25/INV-829,Being Sale of Goods - Accounted,19 Pr,,15122.80,16938.00 Dr,15122.80 Cr,1814.74 Cr,,0.46 Cr,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 C) - Black,,,,1 Pr,675.50/Pr,675.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 C) - Black,,,,1 Pr,675.50/Pr,675.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 C) - Black,,,,1 Pr,675.50/Pr,675.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 C) - Black,,,,1 Pr,675.50/Pr,675.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 C) - Black,,,,1 Pr,675.50/Pr,675.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 C) - Black,,,,1 Pr,675.50/Pr,675.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 13 C) - Black,,,,1 Pr,675.50/Pr,675.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 01 UK) - Black,,,,1 Pr,831.50/Pr,831.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 02 UK) - Black,,,,1 Pr,831.50/Pr,831.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 03 UK) - Black,,,,1 Pr,831.50/Pr,831.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 04 UK) - Black,,,,1 Pr,831.50/Pr,831.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 05 UK) - Black,,,,1 Pr,883.50/Pr,883.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 06 UK) - Black,,,,1 Pr,883.50/Pr,883.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 07 UK) - Black,,,,1 Pr,883.50/Pr,883.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 08 UK) - Black,,,,1 Pr,883.50/Pr,883.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 09 UK) - Black,,,,1 Pr,883.50/Pr,883.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 10 UK) - Black,,,,1 Pr,883.50/Pr,883.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 11 UK) - Black,,,,1 Pr,883.50/Pr,883.50,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Aspire School Shoes (Size 12 UK) - Black,,,,1 Pr,883.80/Pr,883.80,,,,,,,,,,,,,,,,,,,,,,
19-Feb-25,"Sannitha Educational Institutions Pvt Ltd.,",PSB24-25/INV-830,PSB24-25/INV-830,Being Sale of Goods - Accounted,24 Pcs,,8706.00,9141.00 Dr,8706.00 Cr,,,0.30 Dr,435.30 Cr,,,,,,,,,,,,,,,,
,Samashti T Shirts - Aqua - Blue - 30,,,,1 Pcs,349.00/Pcs,349.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti T Shirts - Aqua - Blue - 32,,,,2 Pcs,349.00/Pcs,698.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti T Shirts - Aer - Yellow - 32,,,,1 Pcs,349.00/Pcs,349.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti T Shirts - Aer - Yellow - 34,,,,1 Pcs,349.00/Pcs,349.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti T Shirts - Aer - Yellow - 36,,,,2 Pcs,349.00/Pcs,698.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti T Shirts - Terra - Green - 30,,,,2 Pcs,349.00/Pcs,698.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti T Shirts - Terra - Green - 36,,,,1 Pcs,349.00/Pcs,349.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti T Shirts - Ignis - Red - 32,,,,3 Pcs,349.00/Pcs,1047.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti T Shirts - Ignis - Red - 36,,,,3 Pcs,349.00/Pcs,1047.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti Track Pant - Aqua - Blue - 36,,,,5 Pcs,399.00/Pcs,1995.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti Track Pant - Aer - Yellow - 36,,,,1 Pcs,399.00/Pcs,399.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti Track Pant - Ignis - Red - 36,,,,1 Pcs,399.00/Pcs,399.00,,,,,,,,,,,,,,,,,,,,,,
,Samashti Shorts - Ignis - Red - 32,,,,1 Pcs,329.00/Pcs,329.00,,,,,,,,,,,,,,,,,,,,,,
22-Feb-25,"DAC'S INC .,",PSB24-25/INV-831,PSB24-25/INV-831,Being Sale of Goods - Accounted,170 Pr,,56800.00,62929.00 Dr,56800.00 Cr,,,,,787.50 Cr,787.50 Cr,,,,2277.00 Cr,2277.00 Cr,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,2 Pr,1060.00/Pr,2120.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,2 Pr,1060.00/Pr,2120.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,2 Pr,1250.00/Pr,2500.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,2 Pr,1250.00/Pr,2500.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,2 Pr,1250.00/Pr,2500.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,2 Pr,1356.00/Pr,2712.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,2 Pr,1356.00/Pr,2712.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,2 Pr,1356.00/Pr,2712.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,2 Pr,1356.00/Pr,2712.00,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 11 UK) - Black,,,,2 Pr,1356.00/Pr,2712.00,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - XS,,,,50 Pr,210.00/Pr,10500.00,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - L,,,,50 Pr,210.00/Pr,10500.00,,,,,,,,,,,,,,,,,,,,,,
,Sri Vani Navy Blue Crew Length Socks (P/3) - XL,,,,50 Pr,210.00/Pr,10500.00,,,,,,,,,,,,,,,,,,,,,,
26-Feb-25,ETERNAL TRADING CO,PSB24-25/INV-832,PSB24-25/INV-832,Being Sale of Goods - Accounted,396 Pr,,271522.08,304409.00 Dr,271522.08 Cr,32582.65 Cr,,0.27 Cr,,,,304.00 Cr,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 12 C) - Black,,,,24 Pr,632.68/Pr,15184.32,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 13 C) - Black,,,,24 Pr,632.68/Pr,15184.32,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 01 UK) - Black,,,,54 Pr,632.68/Pr,34164.72,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 02 UK) - Black,,,,54 Pr,632.68/Pr,34164.72,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 03 UK) - Black,,,,1 Pr,632.68/Pr,632.68,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 04 UK) - Black,,,,4 Pr,632.68/Pr,2530.72,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 06 UK) - Black,,,,78 Pr,721.96/Pr,56312.88,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 07 UK) - Black,,,,31 Pr,721.96/Pr,22380.76,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 08 UK) - Black,,,,70 Pr,721.96/Pr,50537.20,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 09 UK) - Black,,,,8 Pr,721.96/Pr,5775.68,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 10 UK) - Black,,,,24 Pr,721.96/Pr,17327.04,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 11 UK) - Black,,,,12 Pr,721.96/Pr,8663.52,,,,,,,,,,,,,,,,,,,,,,
,Plaeto S’cool  Shoes (Size 12 UK) - Black,,,,12 Pr,721.96/Pr,8663.52,,,,,,,,,,,,,,,,,,,,,,
26-Feb-25,H AND M ENTERPRISES (DPS),PSB24-25/INV-833,PSB24-25/INV-833,Being Sale of Goods - Accounted,132 Pr,,152034.24,179580.00 Dr,152034.24 Cr,,,0.40 Dr,,,,180.00 Cr,,,13683.08 Cr,13683.08 Cr,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,10 Pr,1076.27/Pr,10762.70,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,10 Pr,1076.27/Pr,10762.70,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,10 Pr,1076.27/Pr,10762.70,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,18 Pr,1076.27/Pr,19372.86,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,18 Pr,1194.92/Pr,21508.56,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,18 Pr,1194.92/Pr,21508.56,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,15 Pr,1194.92/Pr,17923.80,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,15 Pr,1194.92/Pr,17923.80,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,6 Pr,1194.92/Pr,7169.52,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,6 Pr,1194.92/Pr,7169.52,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - Black,,,,6 Pr,1194.92/Pr,7169.52,,,,,,,,,,,,,,,,,,,,,,
26-Feb-25,H AND M ENTERPRISES (DPS),PSB24-25/INV-834,PSB24-25/INV-834,Being Sale of Goods - Accounted,132 Pr,,152034.24,179580.00 Dr,152034.24 Cr,,,0.40 Dr,,,,180.00 Cr,,,13683.08 Cr,13683.08 Cr,,,,,,,,,
,Reebok Prodigy Shoe (Size 03 Y) - Black,,,,10 Pr,1076.27/Pr,10762.70,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 04 Y) - Black,,,,10 Pr,1076.27/Pr,10762.70,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 05 Y) - Black,,,,10 Pr,1076.27/Pr,10762.70,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 06 Y) - Black,,,,18 Pr,1076.27/Pr,19372.86,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 07 US) - Black,,,,18 Pr,1194.92/Pr,21508.56,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 08 US) - Black,,,,18 Pr,1194.92/Pr,21508.56,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 09 US) - Black,,,,15 Pr,1194.92/Pr,17923.80,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 10 US) - Black,,,,15 Pr,1194.92/Pr,17923.80,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 11 US) - Black,,,,6 Pr,1194.92/Pr,7169.52,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 12 US) - Black,,,,6 Pr,1194.92/Pr,7169.52,,,,,,,,,,,,,,,,,,,,,,
,Reebok Prodigy Shoe (Size 13 US) - Black,,,,6 Pr,1194.92/Pr,7169.52,,,,,,,,,,,,,,,,,,,,,,
