Date,Particulars,Voucher No.,Voucher Ref. No.,Narration,Quantity,Rate,Value,Gross Total,GST Sales,Output CGST @ 9%,Output SGST @ 9%,Round Off,Output CGST @ 2.5%,Output SGST @ 2.5%,Output CGST @ 6%,Output SGST @ 6%,Input CGST @ 2.5%,Input SGST @ 2.5%,Output IGST @ 18%,Output IGST @ 5%,Output IGST @ 12%,Input IGST @ 12%,Input IGST @ 18%,Shipping Interstate GST @ 18%,Local GST Sales @ 5%,Local GST Sales @ 12%,Local GST Sales @ 18%,Interstate GST Sales @ 5%,Interstate GST Sales @ 12%,Interstate GST Sales @ 18%
,Plaeto Nova School Shoes (Size 11 C) - Black,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 12 C) - Black,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 13 C) - Black,,,,3 Pr,1270.34/Pr,3811.02,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 01 UK) - Black,,,,2 Pr,1566.95/Pr,3133.90,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 02 UK) - Black,,,,2 Pr,1566.95/Pr,3133.90,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 03 UK) - Black,,,,3 Pr,1566.95/Pr,4700.85,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 04 UK) - Black,,,,4 Pr,1566.95/Pr,6267.80,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 05 UK) - Black,,,,3 Pr,1694.07/Pr,5082.21,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 06 UK) - Black,,,,5 Pr,1694.07/Pr,8470.35,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 07 UK) - Black,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 08 UK) - Black,,,,4 Pr,1694.07/Pr,6776.28,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09 UK) - Black,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 10 UK) - Black,,,,2 Pr,1694.07/Pr,3388.14,,,,,,,,,,,,,,,,,,,,,,,
,Plain White Crew Length Socks (P/1) - XS,,,,3 Pr,228.57/Pr,685.71,,,,,,,,,,,,,,,,,,,,,,,
,Plain White Crew Length Socks (P/1) - S,,,,5 Pr,228.57/Pr,1142.85,,,,,,,,,,,,,,,,,,,,,,,
,Plain White Crew Length Socks (P/1) - M,,,,14 Pr,228.57/Pr,3199.98,,,,,,,,,,,,,,,,,,,,,,,
,Plain White Crew Length Socks (P/1) - L,,,,6 Pr,228.57/Pr,1371.42,,,,,,,,,,,,,,,,,,,,,,,
,Plain White Crew Length Socks (P/1) - XL,,,,2 Pr,228.57/Pr,457.14,,,,,,,,,,,,,,,,,,,,,,,
,T Shirt,,,,15 Pcs,551.43/Pcs,8271.45,,,,,,,,,,,,,,,,,,,,,,,
,T Shirt,,,,52 Pcs,580.00/Pcs,30160.00,,,,,,,,,,,,,,,,,,,,,,,
,T Shirt,,,,18 Pcs,618.10/Pcs,11125.80,,,,,,,,,,,,,,,,,,,,,,,
,Track Pants,,,,16 Pcs,570.48/Pcs,9127.68,,,,,,,,,,,,,,,,,,,,,,,
,Track Pants,,,,50 Pcs,599.05/Pcs,29952.50,,,,,,,,,,,,,,,,,,,,,,,
,Track Pants,,,,18 Pcs,637.14/Pcs,11468.52,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-25,National Public School  - Jayanagar (NPS),PSB25-26/INV-463,PSB25-26/INV-463,Being Sale of Goods - Accounted,1334 Pr,,1296907.19,1506865.00 Dr,1296907.19 Cr,100449.60 Cr,100449.60 Cr,0.17 Cr,,,15.75 Cr,15.75 Cr,4513.47 Cr,4513.47 Cr,,,,,,,,,,,,
,Plaeto Nova School Shoes (Size 09C) - Black,,,,1 Pr,1270.34/Pr,1270.34,,,,,,,,,,,,,,,,,,,,,,,
